batter_era,batter_season,batter_name,batter_id,pitcher_era,pitcher_season,pitcher_name,pitcher_id,n_pa,k_pct,bb_pct,hr_pct,avg,obp,slg,babip,matchup_seed
Deadball,1906,George Stone,stonege01,Deadball,1906,Cy Falkenberg,falkecy01,20000,0.2077,0.0975,0.1145,0.367,0.435,0.831,0.373,1584314891
Deadball,1906,George Stone,stonege01,Deadball,1906,Frank Owen,owenfr01,20000,0.1473,0.0741,0.1327,0.44,0.487,0.982,0.425,2180049858
Deadball,1906,George Stone,stonege01,Deadball,1906,Joe McGinnity,mcginjo01,20000,0.168,0.0764,0.1264,0.4,0.452,0.91,0.386,191900026
Deadball,1906,George Stone,stonege01,LiveBall-Power,1927,Dazzy Vance,vanceda01,20000,0.2636,0.0788,0.1056,0.342,0.401,0.76,0.381,1298906155
Deadball,1906,George Stone,stonege01,LiveBall-Power,1927,Pete Alexander,alexape01,20000,0.1792,0.0556,0.1267,0.418,0.455,0.922,0.419,365174815
Deadball,1906,George Stone,stonege01,LiveBall-Power,1927,Willis Hudlin,hudliwi01,20000,0.1971,0.0863,0.1223,0.39,0.449,0.883,0.394,3091854332
Deadball,1906,George Stone,stonege01,PitcherDom,1968,Sam McDowell,mcdowsa01,20000,0.22,0.1012,0.1162,0.381,0.45,0.859,0.403,2559234846
Deadball,1906,George Stone,stonege01,PitcherDom,1968,Juan Marichal,maricju01,20000,0.1883,0.0519,0.1278,0.416,0.452,0.925,0.421,1367976452
Deadball,1906,George Stone,stonege01,PitcherDom,1968,Gaylord Perry,perryga01,20000,0.182,0.0738,0.1243,0.407,0.456,0.911,0.408,1355741923
Deadball,1906,George Stone,stonege01,ModernHR,1999,Randy Johnson,johnsra05,20000,0.2386,0.0725,0.1148,0.367,0.42,0.821,0.394,385831741
Deadball,1906,George Stone,stonege01,ModernHR,1999,Shane Reynolds,reynosh01,20000,0.1986,0.0506,0.1283,0.402,0.439,0.904,0.407,2715318058
Deadball,1906,George Stone,stonege01,ModernHR,1999,Mike Hampton,hamptmi01,20000,0.1951,0.0936,0.1222,0.388,0.452,0.887,0.39,3363185028
Deadball,1906,Roy Thomas,thomaro01,Deadball,1906,Cy Falkenberg,falkecy01,20000,0.2173,0.1347,0.0104,0.17,0.292,0.228,0.215,1385758305
