batter_pool,batter_name,batter_id,batter_season,pitcher_pool,pitcher_name,pitcher_id,pitcher_season,n_pa,k_pct,bb_pct,hr_pct,avg,obp,slg,babip,matchup_seed,k_flag,bb_flag,hr_flag,babip_flag,avg_flag,any_flag
Deadball,Honus Wagner,wagneho01,1900,Control,Bill Burns,burnsbi01,1908,10000,0.1301,0.0441,0.036,0.365,0.4,0.588,0.397,3882130271,False,False,False,True,False,True
Deadball,Honus Wagner,wagneho01,1900,Wild-Flames,Bob Harmon,harmobo01,1911,10000,0.1259,0.1004,0.0303,0.359,0.431,0.575,0.395,1497509751,False,False,False,True,False,True
Deadball,Honus Wagner,wagneho01,1900,Wild-Flames,Elmer Myers,myersel01,1916,10000,0.1588,0.1062,0.0297,0.331,0.41,0.532,0.379,4215505268,False,False,False,True,False,True
Deadball,Honus Wagner,wagneho01,1900,Control,Babe Adams,adamsba01,1920,10000,0.163,0.0331,0.0308,0.332,0.36,0.527,0.376,3680066856,False,False,False,True,False,True
Deadball,Honus Wagner,wagneho01,1900,Control,Red Lucas,lucasre01,1933,10000,0.0938,0.0356,0.039,0.381,0.41,0.622,0.395,1640571936,False,False,False,True,False,True
Deadball,Honus Wagner,wagneho01,1900,Wild-Flames,Sam Jones,jonessa02,1955,10000,0.1802,0.1111,0.0247,0.31,0.396,0.481,0.368,4151027212,False,False,False,True,False,True
Deadball,Honus Wagner,wagneho01,1900,Control,Dennis Eckersley,eckerde01,1985,10000,0.1522,0.0396,0.0329,0.336,0.369,0.539,0.375,1273323622,False,False,False,True,False,True
Deadball,Honus Wagner,wagneho01,1900,Control,Bret Saberhagen,saberbr01,1994,10000,0.1638,0.032,0.033,0.328,0.355,0.527,0.37,4234948887,False,False,False,True,False,True
Deadball,Honus Wagner,wagneho01,1900,Control,Jon Lieber,liebejo01,2004,10000,0.1154,0.0378,0.0386,0.37,0.399,0.606,0.393,44341100,False,False,False,True,False,True
Deadball,Honus Wagner,wagneho01,1900,Control,Carlos Silva,silvaca01,2005,10000,0.0959,0.033,0.0445,0.393,0.42,0.659,0.406,4132818496,False,False,False,True,False,True
Deadball,Honus Wagner,wagneho01,1900,Control,Cliff Lee,leecl02,2010,10000,0.1482,0.0378,0.0305,0.342,0.372,0.543,0.381,1790317614,False,False,False,True,False,True
Deadball,Honus Wagner,wagneho01,1900,Control,Phil Hughes,hugheph01,2014,10000,0.1442,0.0342,0.0327,0.348,0.378,0.557,0.385,3360840879,False,False,False,True,False,True
Deadball,Honus Wagner,wagneho01,1900,Control,George Kirby,kirbyge01,2023,10000,0.1316,0.0401,0.0331,0.359,0.392,0.571,0.392,3057617694,False,False,False,True,False,True
Deadball,Nap Lajoie,lajoina01,1901,K-Kings,Rube Waddell,wadderu01,1904,10000,0.165,0.0652,0.0536,0.336,0.387,0.596,0.365,2629073327,False,False,False,True,False,True
Deadball,Nap Lajoie,lajoina01,1901,Control,Bill Burns,burnsbi01,1908,10000,0.0867,0.03,0.0742,0.409,0.433,0.757,0.399,4243562944,False,False,False,True,False,True
Deadball,Nap Lajoie,lajoina01,1901,Wild-Flames,Bob Harmon,harmobo01,1911,10000,0.0989,0.0803,0.0648,0.394,0.45,0.718,0.394,3828696063,False,False,False,True,False,True
Deadball,Nap Lajoie,lajoina01,1901,Wild-Flames,Weldon Wyckoff,wyckowe01,1915,10000,0.13,0.0886,0.0663,0.358,0.422,0.676,0.364,1449637688,False,False,False,True,False,True
Deadball,Nap Lajoie,lajoina01,1901,Wild-Flames,Elmer Myers,myersel01,1916,10000,0.127,0.086,0.0641,0.38,0.442,0.703,0.392,622501087,False,False,False,True,False,True
Deadball,Nap Lajoie,lajoina01,1901,Control,Babe Adams,adamsba01,1920,10000,0.1292,0.0157,0.0689,0.384,0.401,0.706,0.393,243059654,False,False,False,True,False,True
Deadball,Nap Lajoie,lajoina01,1901,Control,Harry Salmon,salmoha01,1929,10000,0.1723,0.018,0.0587,0.337,0.355,0.597,0.362,1396762989,False,False,False,True,False,True
Deadball,Nap Lajoie,lajoina01,1901,Wild-Flames,Bump Hadley,hadlebu01,1932,10000,0.1565,0.0958,0.0529,0.351,0.423,0.62,0.382,3736094083,False,False,False,True,False,True
Deadball,Nap Lajoie,lajoina01,1901,Control,Red Lucas,lucasre01,1933,10000,0.0544,0.0154,0.0782,0.436,0.45,0.798,0.412,2996249837,False,False,False,True,True,True
Deadball,Nap Lajoie,lajoina01,1901,Wild-Flames,Bobo Newsom,newsobo01,1938,10000,0.1536,0.0791,0.0541,0.34,0.4,0.608,0.363,2479483780,False,False,False,True,False,True
