batter_pool,batter_name,batter_id,batter_season,pitcher_pool,pitcher_name,pitcher_id,pitcher_season,n_pa,k_pct,bb_pct,hr_pct,avg,obp,slg,babip,matchup_seed
Deadball,Honus Wagner,wagneho01,1900,K-Kings,Rube Waddell,wadderu01,1904,10000,0.2005,0.0812,0.0191,0.286,0.353,0.427,0.35,3558973849
Deadball,Honus Wagner,wagneho01,1900,Control,Bill Burns,burnsbi01,1908,10000,0.1301,0.0441,0.036,0.365,0.4,0.588,0.397,3882130271
Deadball,Honus Wagner,wagneho01,1900,K-Kings,Walter Johnson,johnswa01,1910,10000,0.1922,0.0702,0.0221,0.252,0.312,0.386,0.297,605454426
Deadball,Honus Wagner,wagneho01,1900,Wild-Flames,Bob Harmon,harmobo01,1911,10000,0.1259,0.1004,0.0303,0.359,0.431,0.575,0.395,1497509751
Deadball,Honus Wagner,wagneho01,1900,Wild-Flames,Weldon Wyckoff,wyckowe01,1915,10000,0.1643,0.1117,0.0302,0.296,0.383,0.48,0.336,629409121
Deadball,Honus Wagner,wagneho01,1900,Wild-Flames,Elmer Myers,myersel01,1916,10000,0.1588,0.1062,0.0297,0.331,0.41,0.532,0.379,4215505268
Deadball,Honus Wagner,wagneho01,1900,Control,Babe Adams,adamsba01,1920,10000,0.163,0.0331,0.0308,0.332,0.36,0.527,0.376,3680066856
Deadball,Honus Wagner,wagneho01,1900,Control,Harry Salmon,salmoha01,1929,10000,0.2017,0.0365,0.0221,0.286,0.319,0.428,0.343,4149030774
Deadball,Honus Wagner,wagneho01,1900,Wild-Flames,Bump Hadley,hadlebu01,1932,10000,0.1875,0.1112,0.022,0.299,0.386,0.458,0.36,861376416
Deadball,Honus Wagner,wagneho01,1900,Control,Red Lucas,lucasre01,1933,10000,0.0938,0.0356,0.039,0.381,0.41,0.622,0.395,1640571936
Deadball,Honus Wagner,wagneho01,1900,Wild-Flames,Bob Feller,fellebo01,1938,10000,0.2084,0.1132,0.0195,0.269,0.361,0.402,0.333,3879711952
Deadball,Honus Wagner,wagneho01,1900,Wild-Flames,Bobo Newsom,newsobo01,1938,10000,0.192,0.0972,0.0209,0.289,0.366,0.434,0.348,1157145770
Deadball,Honus Wagner,wagneho01,1900,K-Kings,Bob Feller,fellebo01,1946,10000,0.2066,0.0887,0.0205,0.254,0.327,0.382,0.309,2092903239
Deadball,Honus Wagner,wagneho01,1900,Wild-Flames,Tommy Byrne,byrneto01,1949,10000,0.1797,0.1146,0.0228,0.292,0.383,0.455,0.347,3846406182
Deadball,Honus Wagner,wagneho01,1900,Wild-Flames,Bob Turley,turlebo01,1954,10000,0.1746,0.1104,0.0282,0.277,0.366,0.447,0.318,76167928
Deadball,Honus Wagner,wagneho01,1900,Wild-Flames,Sam Jones,jonessa02,1955,10000,0.1802,0.1111,0.0247,0.31,0.396,0.481,0.368,4151027212
Deadball,Honus Wagner,wagneho01,1900,K-Kings,Sandy Koufax,koufasa01,1965,10000,0.184,0.0659,0.0263,0.304,0.357,0.475,0.357,2463583213
Deadball,Honus Wagner,wagneho01,1900,K-Kings,Sam McDowell,mcdowsa01,1965,10000,0.1832,0.0975,0.0234,0.264,0.344,0.409,0.309,3621532800
Deadball,Honus Wagner,wagneho01,1900,K-Kings,Nolan Ryan,ryanno01,1973,10000,0.1927,0.0996,0.0235,0.27,0.352,0.421,0.322,4242843057
Deadball,Honus Wagner,wagneho01,1900,Wild-Flames,Nolan Ryan,ryanno01,1977,10000,0.1894,0.1088,0.0217,0.26,0.349,0.397,0.309,3843936025
Deadball,Honus Wagner,wagneho01,1900,Control,Dennis Eckersley,eckerde01,1985,10000,0.1522,0.0396,0.0329,0.336,0.369,0.539,0.375,1273323622
Deadball,Honus Wagner,wagneho01,1900,Control,Bret Saberhagen,saberbr01,1994,10000,0.1638,0.032,0.033,0.328,0.355,0.527,0.37,4234948887
Deadball,Honus Wagner,wagneho01,1900,K-Kings,Curt Schilling,schilcu01,1997,10000,0.1907,0.0609,0.0248,0.297,0.346,0.454,0.352,3233949591
Deadball,Honus Wagner,wagneho01,1900,K-Kings,Pedro Martinez,martipe02,1999,10000,0.193,0.0504,0.0239,0.246,0.291,0.377,0.286,2555182599
Deadball,Honus Wagner,wagneho01,1900,K-Kings,Randy Johnson,johnsra05,2001,10000,0.1894,0.0823,0.02,0.268,0.337,0.403,0.32,1864785051
Deadball,Honus Wagner,wagneho01,1900,Control,Jon Lieber,liebejo01,2004,10000,0.1154,0.0378,0.0386,0.37,0.399,0.606,0.393,44341100
Deadball,Honus Wagner,wagneho01,1900,Control,Carlos Silva,silvaca01,2005,10000,0.0959,0.033,0.0445,0.393,0.42,0.659,0.406,4132818496
Deadball,Honus Wagner,wagneho01,1900,Control,Cliff Lee,leecl02,2010,10000,0.1482,0.0378,0.0305,0.342,0.372,0.543,0.381,1790317614
Deadball,Honus Wagner,wagneho01,1900,Control,Phil Hughes,hugheph01,2014,10000,0.1442,0.0342,0.0327,0.348,0.378,0.557,0.385,3360840879
Deadball,Honus Wagner,wagneho01,1900,K-Kings,Gerrit Cole,colege01,2019,10000,0.178,0.0667,0.0245,0.301,0.355,0.466,0.351,3099721603
Deadball,Honus Wagner,wagneho01,1900,Control,George Kirby,kirbyge01,2023,10000,0.1316,0.0401,0.0331,0.359,0.392,0.571,0.392,3057617694
Deadball,Nap Lajoie,lajoina01,1901,K-Kings,Rube Waddell,wadderu01,1904,10000,0.165,0.0652,0.0536,0.336,0.387,0.596,0.365,2629073327
Deadball,Nap Lajoie,lajoina01,1901,Control,Bill Burns,burnsbi01,1908,10000,0.0867,0.03,0.0742,0.409,0.433,0.757,0.399,4243562944
Deadball,Nap Lajoie,lajoina01,1901,K-Kings,Walter Johnson,johnswa01,1910,10000,0.1682,0.0501,0.0571,0.305,0.347,0.561,0.322,1601756938
Deadball,Nap Lajoie,lajoina01,1901,Wild-Flames,Bob Harmon,harmobo01,1911,10000,0.0989,0.0803,0.0648,0.394,0.45,0.718,0.394,3828696063
Deadball,Nap Lajoie,lajoina01,1901,Wild-Flames,Weldon Wyckoff,wyckowe01,1915,10000,0.13,0.0886,0.0663,0.358,0.422,0.676,0.364,1449637688
Deadball,Nap Lajoie,lajoina01,1901,Wild-Flames,Elmer Myers,myersel01,1916,10000,0.127,0.086,0.0641,0.38,0.442,0.703,0.392,622501087
Deadball,Nap Lajoie,lajoina01,1901,Control,Babe Adams,adamsba01,1920,10000,0.1292,0.0157,0.0689,0.384,0.401,0.706,0.393,243059654
