player_id,player_name,season_year,role,position_group_used,PA_BF,RAR_bat,RAR_pit,WAR,salary
lisenho01,Horace Lisenbee,1927,pitcher,SP,750,0.0,67.81,6.78,20842879
hornsro01,Rogers Hornsby,1927,hitter,UTIL,600,67.6,0.0,6.76,20785820
salmoha01,Harry Salmon,1927,pitcher,SP,740,0.0,64.76,6.48,19986999
jonessa01,Sad Sam Jones,1927,pitcher,SP,750,0.0,64.67,6.47,19958470
grovele01,Lefty Grove,1927,pitcher,SP,750,0.0,64.45,6.44,19872882
trentte01,Ted Trent,1927,pitcher,SP,750,0.0,63.43,6.34,19587589
wellswi99,Willie Wells,1927,hitter,UTIL,600,61.9,0.0,6.19,19159649
ruffire01,Red Ruffing,1927,pitcher,SP,703,0.0,61.54,6.15,19045532
vanceda01,Dazzy Vance,1927,pitcher,SP,750,0.0,61.27,6.13,18988473
suttlmu99,Mule Suttles,1927,hitter,UTIL,600,59.83,0.0,5.98,18560533
milleja02,Jake Miller,1927,pitcher,SP,750,0.0,56.01,5.6,17476419
whiteea01,Earl Whitehill,1927,pitcher,SP,750,0.0,55.98,5.6,17476419
lazzeto01,Tony Lazzeri,1927,hitter,UTIL,600,55.48,0.0,5.55,17333773
webbea01,Earl Webb,1927,hitter,UTIL,600,55.02,0.0,5.5,17191126
steartu99,Turkey Stearnes,1927,hitter,UTIL,600,54.92,0.0,5.49,17162597
cockrph01,Phil Cockrell,1927,pitcher,SP,750,0.0,53.34,5.33,16706128
masonch02,Charlie Mason,1927,hitter,UTIL,600,53.11,0.0,5.31,16649069
gehrilo01,Lou Gehrig,1927,hitter,UTIL,600,52.26,0.0,5.23,16420834
bentola01,Larry Benton,1927,pitcher,SP,750,0.0,51.51,5.15,16192600
rhemfl01,Flint Rhem,1927,pitcher,SP,738,0.0,51.05,5.11,16078483
thomato02,Tommy Thomas,1927,pitcher,SP,750,0.0,50.88,5.09,16021424
aldrivi01,Vic Aldridge,1927,pitcher,SP,750,0.0,50.55,5.05,15907307
mayja01,Jakie May,1927,pitcher,SP,750,0.0,49.71,4.97,15679072
braxtga01,Garland Braxton,1927,pitcher,SP,639,0.0,49.47,4.95,15622013
mcweedo01,Doug McWeeny,1927,pitcher,SP,725,0.0,49.36,4.94,15593484
harrisl01,Slim Harriss,1927,pitcher,SP,750,0.0,48.93,4.89,15450837
ruthba01,Babe Ruth,1927,hitter,UTIL,600,48.92,0.0,4.89,15450837
simmoal01,Al Simmons,1927,hitter,UTIL,600,48.74,0.0,4.87,15393779
pennohe01,Herb Pennock,1927,pitcher,SP,750,0.0,48.58,4.86,15365250
yokella01,Laymon Yokely,1927,pitcher,SP,699,0.0,48.2,4.82,15251132
walberu01,Rube Walberg,1927,pitcher,SP,750,0.0,47.63,4.76,15079956
hadlebu01,Bump Hadley,1927,pitcher,SP,750,0.0,47.41,4.74,15022898
uhlege01,George Uhle,1927,pitcher,SP,703,0.0,46.09,4.61,14652017
roberch01,Charlie Robertson,1927,pitcher,SP,693,0.0,45.57,4.56,14509370
ellioju01,Jumbo Elliott,1927,pitcher,SP,750,0.0,45.38,4.54,14452311
thurssl01,Hollis Thurston,1927,pitcher,SP,750,0.0,45.09,4.51,14366723
scottja01,Jack Scott,1927,pitcher,SP,750,0.0,44.48,4.45,14195547
willike01,Ken Williams,1927,hitter,UTIL,600,44.47,0.0,4.45,14195547
farrelu02,Luther Farrell,1927,pitcher,SP,750,0.0,43.86,4.39,14024371
tylerst01,Steel Arm Tyler,1927,pitcher,SP,607,0.0,43.65,4.36,13938784
terrybi01,Bill Terry,1927,hitter,UTIL,600,43.51,0.0,4.35,13910254
wilsoha01,Hack Wilson,1927,hitter,UTIL,600,43.19,0.0,4.32,13824666
davisro05,Roosevelt Davis,1927,pitcher,SP,704,0.0,43.04,4.3,13767608
crowdal01,General Crowder,1927,pitcher,SP,622,0.0,42.84,4.28,13710549
rootch01,Charlie Root,1927,pitcher,SP,750,0.0,41.71,4.17,13396726
vangiel01,Elam Vangilder,1927,pitcher,SP,750,0.0,41.44,4.14,13311138
gibsosa01,Sam Gibson,1927,pitcher,SP,750,0.0,41.23,4.12,13254080
wingaer01,Ernie Wingard,1927,pitcher,SP,738,0.0,41.2,4.12,13254080
blakesh01,Sheriff Blake,1927,pitcher,SP,750,0.0,41.12,4.11,13225551
harnege01,George Harney,1927,pitcher,SP,673,0.0,41.09,4.11,13225551
sherdbi01,Bill Sherdel,1927,pitcher,SP,750,0.0,41.11,4.11,13225551
ulricdu01,Frank Ulrich,1927,pitcher,SP,750,0.0,40.9,4.09,13168492
smithbo02,Bob Smith,1927,pitcher,SP,750,0.0,40.79,4.08,13139963
gastomi01,Milt Gaston,1927,pitcher,SP,750,0.0,40.61,4.06,13082904
morriye01,Yellow Horse Morris,1927,pitcher,SP,750,0.0,40.51,4.05,13054375
donohpe01,Pete Donohue,1927,pitcher,SP,750,0.0,40.42,4.04,13025845
wertsjo01,Johnny Werts,1927,pitcher,SP,730,0.0,39.96,4.0,12911728
barnevi01,Virgil Barnes,1927,pitcher,SP,750,0.0,39.85,3.99,12883199
roganbu99,Bullet Rogan,1927,pitcher,SP,621,0.0,39.59,3.96,12797611
reduswi01,Wilson Redus,1927,hitter,UTIL,600,39.14,0.0,3.91,12654964
bellcl01,Cliff Bell,1927,pitcher,SP,674,0.0,38.86,3.89,12597905
heilmha01,Harry Heilmann,1927,hitter,UTIL,600,38.51,0.0,3.85,12483788
diazhe01,Heliodoro Díaz,1927,pitcher,SP,581,0.0,38.25,3.83,12426730
smithch12,Charlie Smith,1927,hitter,UTIL,600,37.57,0.0,3.76,12227024
moorewi01,Wilcy Moore,1927,pitcher,SP,750,0.0,37.37,3.74,12169966
cochrmi01,Mickey Cochrane,1927,hitter,UTIL,600,37.26,0.0,3.73,12141436
fergual01,Alex Ferguson,1927,pitcher,SP,750,0.0,37.1,3.71,12084378
bushgu01,Guy Bush,1927,pitcher,SP,750,0.0,36.95,3.7,12055848
stewale01,Lefty Stewart,1927,pitcher,SP,675,0.0,36.97,3.7,12055848
roselba01,Basilio Rosell,1927,pitcher,SP,629,0.0,36.31,3.63,11856143
streesa01,Sam Streeter,1927,pitcher,SP,750,0.0,35.2,3.52,11542321
bondsba01,Barry Bonds,2000,hitter,UTIL,600,35.17,0.0,3.52,11542321
neisbe01,Bernie Neis,1927,hitter,UTIL,600,34.7,0.0,3.47,11399674
schuljo04,Johnny Schulte,1927,hitter,UTIL,600,34.56,0.0,3.46,11371145
burksel01,Ellis Burks,2000,hitter,UTIL,600,34.33,0.0,3.43,11285557
faberre01,Red Faber,1927,pitcher,SP,488,0.0,34.23,3.42,11257027
quinnja01,Jack Quinn,1927,pitcher,SP,750,0.0,32.93,3.29,10886146
collipa01,Pat Collins,1927,hitter,UTIL,600,32.77,0.0,3.28,10857617
roberro02,Roy Roberts,1927,pitcher,SP,624,0.0,32.47,3.25,10772029
pipgrge01,George Pipgras,1927,pitcher,SP,703,0.0,32.28,3.23,10714970
paigesa01,Satchel Paige,1927,pitcher,SP,429,0.0,32.22,3.22,10686441
mcclubo02,Bob McClure,1927,pitcher,SP,612,0.0,31.65,3.17,10543794
branyru01,Russell Branyan,2000,hitter,UTIL,600,31.6,0.0,3.16,10515265
hudliwi01,Willis Hudlin,1927,pitcher,SP,750,0.0,31.4,3.14,10458206
mcdonwe01,Webster McDonald,1927,pitcher,SP,487,0.0,31.3,3.13,10429677
creacde01,Dewey Creacy,1927,hitter,UTIL,600,31.09,0.0,3.11,10372619
hafeych01,Chick Hafey,1927,hitter,UTIL,600,30.95,0.0,3.1,10344089
glassca01,Carl Glass,1927,pitcher,SP,632,0.0,30.77,3.08,10287031
poindro01,Robert Poindexter,1927,pitcher,SP,718,0.0,30.72,3.07,10258501
frymatr01,Travis Fryman,2000,hitter,UTIL,600,30.33,0.0,3.03,10144384
marbefi01,Firpo Marberry,1927,pitcher,SP,694,0.0,30.02,3.0,10058796
wilsoju99,Jud Wilson,1927,hitter,UTIL,600,29.83,0.0,2.98,10001737
erstada01,Darin Erstad,2000,hitter,UTIL,600,29.83,0.0,2.98,10001737
pruethu01,Hub Pruett,1927,pitcher,SP,750,0.0,29.61,2.96,9944679
sanpe01,Pedro San,1927,pitcher,SP,630,0.0,28.96,2.9,9773503
delgaca01,Carlos Delgado,2000,hitter,UTIL,600,28.75,0.0,2.87,9687915
goldiev01,Everett Goldie,1927,hitter,UTIL,600,28.51,0.0,2.85,9630856
