player_id,player_name,season_year,role,position_group_used,PA_BF,RAR_bat,RAR_pit,WAR,salary
gehrilo01,Lou Gehrig,1927,hitter,UTIL,600,62.84,0.0,6.28,21957383
ruthba01,Babe Ruth,1927,hitter,UTIL,600,59.18,0.0,5.92,20784667
hornsro01,Rogers Hornsby,1927,hitter,UTIL,600,55.77,0.0,5.58,19677101
suttlmu99,Mule Suttles,1927,hitter,UTIL,600,51.95,0.0,5.2,18439234
simmoal01,Al Simmons,1927,hitter,UTIL,600,51.23,0.0,5.12,18178631
reduswi01,Wilson Redus,1927,hitter,UTIL,600,49.97,0.0,5.0,17787725
wilsoju99,Jud Wilson,1927,hitter,UTIL,600,49.55,0.0,4.96,17657423
hafeych01,Chick Hafey,1927,hitter,UTIL,600,49.02,0.0,4.9,17461971
heilmha01,Harry Heilmann,1927,hitter,UTIL,600,45.48,0.0,4.55,16321830
terrybi01,Bill Terry,1927,hitter,UTIL,600,45.31,0.0,4.53,16256679
lazzeto01,Tony Lazzeri,1927,hitter,UTIL,600,43.8,0.0,4.38,15768047
ramirma02,Manny Ramirez,2000,hitter,UTIL,600,42.88,0.0,4.29,15474868
wilsoha01,Hack Wilson,1927,hitter,UTIL,600,42.63,0.0,4.26,15377142
steartu99,Turkey Stearnes,1927,hitter,UTIL,600,41.98,0.0,4.2,15181689
vanceda01,Dazzy Vance,1927,pitcher,SP,750,0.0,42.04,4.2,15181689
willike01,Ken Williams,1927,hitter,UTIL,600,41.67,0.0,4.17,15083963
grovele01,Lefty Grove,1927,pitcher,SP,750,0.0,41.21,4.12,14921086
fostebi99,Willie Foster,1927,pitcher,SP,750,0.0,41.14,4.11,14888510
harpege02,George Harper,1927,hitter,UTIL,600,40.37,0.0,4.04,14660482
walberu01,Rube Walberg,1927,pitcher,SP,750,0.0,40.35,4.04,14660482
wellswi99,Willie Wells,1927,hitter,UTIL,600,40.26,0.0,4.03,14627907
farrelu02,Luther Farrell,1927,pitcher,SP,750,0.0,38.89,3.89,14171850
mayja01,Jakie May,1927,pitcher,SP,750,0.0,38.94,3.89,14171850
webbea01,Earl Webb,1927,hitter,UTIL,600,37.85,0.0,3.78,13813520
streesa01,Sam Streeter,1927,pitcher,SP,750,0.0,37.19,3.72,13618068
edmonji01,Jim Edmonds,2000,hitter,UTIL,600,37.06,0.0,3.71,13585492
masonch02,Charlie Mason,1927,hitter,UTIL,600,35.76,0.0,3.58,13162011
martipe02,Pedro Martinez,2000,pitcher,SP,750,0.0,35.17,3.52,12966559
delgaca01,Carlos Delgado,2000,hitter,UTIL,600,34.63,0.0,3.46,12771106
johnsra05,Randy Johnson,2000,pitcher,SP,750,0.0,33.47,3.35,12412776
cochrmi01,Mickey Cochrane,1927,hitter,UTIL,600,32.8,0.0,3.28,12184748
rodrial01,Alex Rodriguez,2000,hitter,UTIL,600,32.71,0.0,3.27,12152172
mcgwima01,Mark McGwire,2000,hitter,UTIL,600,32.39,0.0,3.24,12054446
jackstr01,Travis Jackson,1927,hitter,UTIL,600,32.13,0.0,3.21,11956720
salmoha01,Harry Salmon,1927,pitcher,SP,740,0.0,32.14,3.21,11956720
tylerst01,Steel Arm Tyler,1927,pitcher,SP,607,0.0,32.12,3.21,11956720
glaustr01,Troy Glaus,2000,hitter,UTIL,600,31.77,0.0,3.18,11858993
thomafr04,Frank Thomas,2000,hitter,UTIL,600,31.72,0.0,3.17,11826418
roganbu99,Bullet Rogan,1927,pitcher,SP,621,0.0,31.63,3.16,11793842
hidalri01,Richard Hidalgo,2000,hitter,UTIL,600,31.48,0.0,3.15,11761267
pruethu01,Hub Pruett,1927,pitcher,SP,750,0.0,31.41,3.14,11728691
sosasa01,Sammy Sosa,2000,hitter,UTIL,600,31.44,0.0,3.14,11728691
marbefi01,Firpo Marberry,1927,pitcher,SP,694,0.0,31.29,3.13,11696116
guerrvl01,Vladimir Guerrero,2000,hitter,UTIL,600,30.99,0.0,3.1,11598390
lisenho01,Horace Lisenbee,1927,pitcher,SP,750,0.0,30.62,3.06,11468088
jenkige01,Geoff Jenkins,2000,hitter,UTIL,600,30.52,0.0,3.05,11435512
rootch01,Charlie Root,1927,pitcher,SP,750,0.0,30.22,3.02,11337786
bagweje01,Jeff Bagwell,2000,hitter,UTIL,600,29.77,0.0,2.98,11207484
omsal01,Alejandro Oms,1927,hitter,UTIL,600,29.69,0.0,2.97,11174909
beckwjo02,John Beckwith,1927,hitter,UTIL,600,29.58,0.0,2.96,11142333
harnege01,George Harney,1927,pitcher,SP,673,0.0,29.57,2.96,11142333
heltoto01,Todd Helton,2000,hitter,UTIL,600,29.44,0.0,2.94,11077182
schuljo04,Johnny Schulte,1927,hitter,UTIL,600,29.34,0.0,2.93,11044607
morriye01,Yellow Horse Morris,1927,pitcher,SP,750,0.0,29.22,2.92,11012032
ruffire01,Red Ruffing,1927,pitcher,SP,703,0.0,29.08,2.91,10979456
braxtga01,Garland Braxton,1927,pitcher,SP,639,0.0,29.02,2.9,10946881
colonba01,Bartolo Colon,2000,pitcher,SP,750,0.0,29.03,2.9,10946881
bottoji01,Jim Bottomley,1927,hitter,UTIL,600,28.66,0.0,2.87,10849154
creacde01,Dewey Creacy,1927,hitter,UTIL,600,28.59,0.0,2.86,10816579
trentte01,Ted Trent,1927,pitcher,SP,750,0.0,28.24,2.82,10686277
gibsosa01,Sam Gibson,1927,pitcher,SP,750,0.0,28.13,2.81,10653702
lundydi01,Dick Lundy,1927,hitter,UTIL,600,28.09,0.0,2.81,10653702
ellioju01,Jumbo Elliott,1927,pitcher,SP,750,0.0,28.03,2.8,10621126
gosligo01,Goose Goslin,1927,hitter,UTIL,600,27.81,0.0,2.78,10555975
yokella01,Laymon Yokely,1927,pitcher,SP,699,0.0,27.81,2.78,10555975
mcweedo01,Doug McWeeny,1927,pitcher,SP,725,0.0,27.67,2.77,10523400
hadlebu01,Bump Hadley,1927,pitcher,SP,750,0.0,27.53,2.75,10458249
poindro01,Robert Poindexter,1927,pitcher,SP,718,0.0,27.46,2.75,10458249
hillgl01,Glenallen Hill,2000,hitter,UTIL,600,27.46,0.0,2.75,10458249
egglema01,Mack Eggleston,1927,hitter,UTIL,600,27.36,0.0,2.74,10425673
hermaba01,Babe Herman,1927,hitter,UTIL,600,27.27,0.0,2.73,10393098
davisro05,Roosevelt Davis,1927,pitcher,SP,704,0.0,26.92,2.69,10262796
russebr01,Branch Russell,1927,hitter,UTIL,600,26.52,0.0,2.65,10132494
thomeji01,Jim Thome,2000,hitter,UTIL,600,26.3,0.0,2.63,10067343
evereca01,Carl Everett,2000,hitter,UTIL,600,26.25,0.0,2.62,10034768
roselba01,Basilio Rosell,1927,pitcher,SP,629,0.0,26.12,2.61,10002193
smithch12,Charlie Smith,1927,hitter,UTIL,600,26.1,0.0,2.61,10002193
pipgrge01,George Pipgras,1927,pitcher,SP,703,0.0,26.02,2.6,9969617
floydcl01,Cliff Floyd,2000,hitter,UTIL,600,25.49,0.0,2.55,9806740
giambja01,Jason Giambi,2000,hitter,UTIL,600,25.35,0.0,2.54,9774164
bellcl01,Cliff Bell,1927,pitcher,SP,674,0.0,25.33,2.53,9741589
paigesa01,Satchel Paige,1927,pitcher,SP,429,0.0,25.34,2.53,9741589
